                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  2.035,                 4.7061,                 1.6636,                0.05968,                0.22222,                0.03847,                0.01942,                 1.7404,                 4.7022,                 1.6338,                 0.0964,                 0.0004,                 0.0004
                      1,                 1.8627,                 3.4377,                 1.6284,                0.47753,                0.46667,                0.44273,                0.26007,                 1.5276,                 2.7178,                 1.5969,               0.091894,             0.00089406,             0.00089406
                      2,                 1.6147,                 2.1435,                 1.6131,                 0.8241,                0.53067,                0.54544,                0.30342,                 1.3937,                 1.9045,                  1.531,               0.087382,              0.0013815,              0.0013815
                      3,                 1.4684,                 1.6221,                 1.4422,                0.83775,                0.55902,                0.57771,                0.32355,                  1.331,                 1.7747,                 1.5099,               0.082862,              0.0018624,              0.0018624
                      4,                 1.3785,                 1.3597,                  1.371,                0.86913,                0.52657,                0.55283,                 0.3243,                 1.2321,                 1.3591,                 1.4156,               0.078337,              0.0023366,              0.0023366
                      5,                 1.3637,                 1.3639,                  1.325,                0.88668,                0.52504,                0.59185,                0.35827,                 1.1945,                 1.2884,                 1.3788,               0.073804,              0.0028043,              0.0028043
                      6,                 1.3587,                 1.3006,                 1.3331,                0.87345,                 0.5429,                0.83742,                0.52006,                 1.1502,                  1.266,                 1.3287,               0.069265,              0.0032654,              0.0032654
                      7,                  1.333,                 1.0089,                 1.2727,                0.91448,                0.54815,                0.70203,                0.44253,                 1.1661,                 1.3084,                 1.3228,                0.06472,              0.0037198,              0.0037198
                      8,                  1.271,                 1.0452,                  1.258,                0.85498,                0.55548,                0.65301,                 0.4163,                 1.1807,                 1.2445,                 1.2592,               0.060168,              0.0041677,              0.0041677
                      9,                 1.2647,                  1.127,                 1.2745,                0.92186,                0.50852,                0.64918,                0.42403,                 1.1547,                 1.1005,                 1.2716,               0.055609,              0.0046089,              0.0046089
                     10,                 1.2182,                0.90171,                 1.1789,                 0.9075,                0.52593,                  0.569,                0.32473,                 1.3674,                 1.2525,                 1.4269,               0.051044,              0.0050436,              0.0050436
                     11,                 1.2827,                 1.0796,                 1.2907,                0.56968,                0.55185,                0.55968,                  0.361,                 1.1522,                 1.2859,                 1.2488,               0.046472,              0.0054717,              0.0054717
                     12,                 1.1393,                 1.0646,                 1.1251,                0.93734,                0.58735,                0.61324,                0.40577,                 1.1041,                 0.9973,                 1.2068,               0.041893,              0.0058931,              0.0058931
                     13,                  1.138,                0.90982,                  1.167,                0.48821,                  0.563,                0.61596,                 0.3819,                 1.2529,                 1.1313,                 1.2564,               0.037308,               0.006308,               0.006308
                     14,                 1.2261,                0.92912,                 1.1922,                0.93206,                0.58148,                0.60063,                0.40693,                 1.0672,                0.98338,                 1.1658,               0.032716,              0.0067162,              0.0067162
                     15,                  1.132,                0.82515,                  1.127,                0.89156,                0.56987,                0.65474,                0.43061,                 1.2222,                0.98598,                 1.2718,               0.028118,              0.0071179,              0.0071179
                     16,                  1.115,                0.83724,                  1.094,                0.53437,                0.63867,                0.68702,                0.43928,                 1.2256,                0.92163,                  1.248,               0.023513,               0.007513,               0.007513
                     17,                 1.1981,                0.85097,                 1.1462,                0.87986,                0.58148,                0.64066,                 0.4362,                 1.2038,                0.94747,                 1.2018,               0.018901,              0.0079014,              0.0079014
                     18,                 1.2135,                0.77814,                 1.1391,                0.95577,                0.57433,                0.63496,                0.39827,                 1.3174,                0.95409,                 1.3128,               0.014283,              0.0082833,              0.0082833
                     19,                 1.0582,                0.72417,                  1.055,                0.93433,                0.47277,                0.60944,                0.37576,                  1.309,                 1.0525,                 1.2754,              0.0096585,              0.0086585,              0.0086585
                     20,                 1.1305,                0.85498,                  1.126,                0.85592,                0.57037,                0.63226,                0.41636,                  1.185,                 1.2347,                 1.1675,                0.00868,                0.00868,                0.00868
                     21,                 1.1087,                0.84383,                 1.1058,                0.87123,                0.50184,                 0.6123,                0.39669,                 1.2498,                 1.0434,                 1.1939,                0.00868,                0.00868,                0.00868
                     22,                 1.1035,                0.71497,                 1.0849,                0.89552,                0.61022,                 0.6314,                0.42827,                  1.169,                0.97735,                  1.119,               0.008614,               0.008614,               0.008614
                     23,                  1.131,                 0.6879,                 1.0811,                0.55516,                0.61586,                0.62214,                0.39456,                 1.3175,                0.89231,                  1.191,               0.008548,               0.008548,               0.008548
                     24,                  1.203,                0.70402,                 1.0719,                0.61705,                0.62414,                0.64545,                0.43908,                  1.084,                0.84965,                 1.0967,               0.008482,               0.008482,               0.008482
                     25,                 1.0966,                0.63331,                 1.0677,                0.55237,                0.63246,                0.63253,                 0.4059,                 1.2431,                0.86638,                  1.151,               0.008416,               0.008416,               0.008416
                     26,                 1.0974,                 0.6654,                  1.056,                0.95718,                0.59291,                0.64066,                0.45036,                 1.0516,                0.76964,                 1.0784,                0.00835,                0.00835,                0.00835
                     27,                 1.0496,                0.63871,                 1.0472,                0.94789,                0.61852,                0.64364,                0.44143,                 1.1499,                0.85208,                 1.1575,               0.008284,               0.008284,               0.008284
                     28,                 1.1381,                0.66137,                 1.0423,                0.62352,                 0.5879,                0.63886,                  0.454,                 1.1292,                0.82372,                 1.1002,               0.008218,               0.008218,               0.008218
                     29,                 1.1066,                0.70287,                 1.0653,                0.93121,                0.61237,                0.64405,                0.44157,                 1.1237,                0.87231,                  1.115,               0.008152,               0.008152,               0.008152
                     30,                 1.0392,                0.64552,                 1.0174,                0.92828,                0.55556,                0.61245,                0.42477,                 1.1118,                0.77632,                 1.0975,               0.008086,               0.008086,               0.008086
                     31,                 1.0926,                0.66031,                 1.0219,                0.91135,                 0.6053,                0.62165,                 0.4339,                 1.1528,                0.75801,                 1.0901,                0.00802,                0.00802,                0.00802
                     32,                 1.0613,                0.63667,                0.99821,                0.96393,                0.58448,                0.64005,                0.43543,                  1.128,                0.74034,                 1.0938,               0.007954,               0.007954,               0.007954
                     33,                 1.0008,                0.60577,                0.99894,                0.96354,                0.59259,                0.64045,                  0.456,                 1.1529,                0.70038,                 1.1046,               0.007888,               0.007888,               0.007888
                     34,                 1.0687,                0.59999,                 1.0088,                0.90956,                0.62925,                 0.6353,                0.44309,                 1.0994,                0.71885,                 1.0814,               0.007822,               0.007822,               0.007822
                     35,                 0.9781,                0.60302,                0.98943,                0.53595,                 0.6118,                0.62437,                0.44122,                 1.1115,                0.73188,                 1.0903,               0.007756,               0.007756,               0.007756
                     36,                0.95886,                0.55851,                0.98595,                0.56488,                0.60976,                0.63762,                0.42773,                 1.1958,                0.84689,                 1.1378,                0.00769,                0.00769,                0.00769
                     37,                 1.0009,                0.57888,                0.98733,                0.59473,                0.62593,                0.64435,                0.44226,                 1.1627,                0.73899,                 1.1134,               0.007624,               0.007624,               0.007624
                     38,                0.95272,                0.56064,                 1.0246,                0.56379,                0.63394,                0.64191,                0.45202,                 1.1407,                0.77247,                  1.128,               0.007558,               0.007558,               0.007558
                     39,                0.97539,                 0.5705,                0.98889,                0.57399,                0.60162,                0.63848,                0.44134,                 1.1779,                0.84511,                 1.1407,               0.007492,               0.007492,               0.007492
                     40,                0.97445,                0.59836,                 1.0459,                0.52904,                0.60655,                0.60206,                0.43453,                 1.0961,                 0.8564,                 1.0944,               0.007426,               0.007426,               0.007426
                     41,                0.92422,                 0.5315,                0.95947,                0.95671,                0.54865,                0.61641,                0.40374,                 1.2109,                0.84155,                 1.1386,                0.00736,                0.00736,                0.00736
                     42,                0.92963,                0.53352,                0.99079,                0.97153,                0.55151,                0.63148,                0.41951,                 1.1732,                0.76769,                  1.145,               0.007294,               0.007294,               0.007294
                     43,                0.96788,                0.59063,                  1.017,                0.95296,                0.55772,                 0.6626,                0.43869,                 1.1669,                0.79107,                 1.1488,               0.007228,               0.007228,               0.007228
                     44,                0.93105,                0.55736,                 0.9886,                0.96512,                0.54815,                0.65785,                0.43571,                 1.1347,                0.77288,                 1.1248,               0.007162,               0.007162,               0.007162
